
Kaapo Kakko
Tye Kartye
Jared McCann
Jacob Melanson
Ben Meyers
Jaden Schwartz
Chandler Stephenson
Eeli Tolvanen
Ryan Winterton
Shane Wright
Vince Dunn
Ryker Evans
Cale Fleury
Adam Larsson
Ryan Lindgren
Joshua Mahura
Brandon Montour
Jamie Oleksiak
Joey Daccord
Philipp Grubauer
Matt Murray
